Airline,Operating Income Growth 2007 %,Operating Income Growth 2008 %,Change (pts)
Southwest Airlines,-15.3%,-43.2%,-27.9pts
Continental Airlines,46.8%,-145.7%,-192.5pts
Lufthansa,-80.3%,2753.3%,+2833.6pts
Singapore Airlines,61.7%,-57.5%,-119.2pts
Air Canada,91.1%,-133.1%,-224.2pts
WestJet Airlines,50.8%,-2.3%,-53.1pts

Notes:
"Operating Income Growth 2007 % = Growth rate comparing 2007 vs 2006"
"Operating Income Growth 2008 % = Growth rate comparing 2008 vs 2007"
"Lufthansa's 2753.3% in 2008 is outlier (recovery from near-zero 2007 base: €15M → €428M)"
"WestJet had BEST profit protection in 2008 (-2.3%) vs massive declines elsewhere"
"All airlines except Lufthansa saw operating income collapse in 2008"
"Data source: Exhibit 10 - Comparative Financial Ratios, Line 26"
